collision_index,collision_year,collision_ref_no,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane_historic,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,generic_make_model,driver_imd_decile,lsoa_of_driver,escooter_flag,driver_distance_banding
2025010551784,2025,010551784,3,9,0,18,19,7,3,0,0,1,0,0,0,0,1,1,6,6,1,55,8,-1,-1,-1,-1,4,E01002814,0,2
2025010551784,2025,010551784,2,9,0,18,19,3,7,0,0,1,0,0,0,0,3,1,6,6,1,36,7,-1,-1,-1,-1,6,E01000892,0,1
2025010551784,2025,010551784,1,9,0,18,19,7,3,0,0,2,0,0,0,0,1,1,6,6,1,53,8,-1,-1,-1,-1,-1,-1,0,-1
2025010551786,2025,010551786,1,3,0,-1,-1,9,9,99,99,9,9,99,9,99,9,1,1,1,1,30,6,-1,-1,-1,-1,3,E01004669,0,1
2025010551786,2025,010551786,2,9,0,6,6,9,9,99,99,9,9,99,9,99,1,9,6,6,3,49,8,-1,-1,-1,-1,5,E01015718,0,4
2025010551792,2025,010551792,3,9,0,2,2,0,0,0,0,0,0,0,0,0,1,1,6,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2025010551792,2025,010551792,4,9,0,2,2,0,0,0,0,0,0,0,0,0,2,1,6,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2025010551792,2025,010551792,1,9,0,18,19,1,5,0,0,0,0,4,0,0,1,1,6,6,1,29,6,-1,-1,-1,-1,2,E01002096,0,2
2025010551792,2025,010551792,5,9,0,2,2,0,0,0,0,0,0,0,0,0,1,1,6,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2025010551792,2025,010551792,2,9,0,2,2,0,0,0,0,0,0,0,0,0,4,1,6,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2025010551794,2025,010551794,1,9,0,18,19,5,1,0,0,1,0,11,0,0,1,1,6,6,1,40,7,-1,-1,-1,-1,-1,-1,0,-1
2025010551795,2025,010551795,2,1,0,18,19,5,1,0,0,8,0,0,0,0,4,1,6,6,2,25,5,-1,-1,-1,-1,2,E01001824,0,1
2025010551795,2025,010551795,1,9,0,18,19,5,1,0,0,8,0,0,0,0,3,1,5,6,1,62,9,-1,-1,-1,-1,3,E01035643,0,1
2025010551802,2025,010551802,3,1,0,5,5,1,5,0,0,0,0,4,0,0,2,1,5,6,1,25,5,-1,-1,-1,-1,5,E01004056,0,3
2025010551802,2025,010551802,2,9,0,5,5,1,5,0,0,0,0,12,0,0,2,1,6,6,1,24,5,-1,-1,-1,-1,5,E01001142,0,1
